mvalorarriendo,mareac,mnrocuartos,mnrobanos,mnrogarajes,mzona_nombre
900000,50.0,1.0,1.0,0.0,Noroccidente
1000000,100.0,3.0,1.0,0.0,Suroccidente
2300000,66.0,1.0,2.0,1.0,Noroccidente
1300000,90.0,3.0,2.0,1.0,Suroccidente
1700000,44.0,2.0,2.0,0.0,Noroccidente
1016000,77.0,2.0,2.0,1.0,Noroccidente
2300000,87.0,2.0,2.0,1.0,Noroccidente
700000,50.0,1.0,1.0,0.0,Suroccidente
2180000,40.0,1.0,1.0,2.0,Noroccidente
1250000,110.0,3.0,2.0,1.0,Noroccidente
2465000,138.0,3.0,4.0,2.0,Noroccidente
1516000,80.0,2.0,3.0,1.0,Noroccidente
1350000,82.0,2.0,3.0,1.0,Suroccidente
1079600,72.0,2.0,2.0,1.0,Suroccidente
950000,97.0,3.0,2.0,0.0,Suroccidente
800000,82.0,2.0,1.0,0.0,Suroccidente
800000,36.0,1.0,1.0,1.0,Noroccidente
1200000,35.0,2.0,2.0,0.0,Noroccidente
1300000,40.0,2.0,2.0,0.0,Noroccidente
1200000,35.0,2.0,2.0,0.0,Noroccidente
1300000,45.0,2.0,2.0,0.0,Noroccidente
1300000,40.0,2.0,2.0,0.0,Noroccidente
1222000,97.0,3.0,2.0,1.0,Noroccidente
951000,71.0,2.0,2.0,1.0,Noroccidente
1600000,86.0,2.0,2.0,1.0,Noroccidente
775000,43.0,1.0,1.0,0.0,Suroccidente
1300000,120.0,3.0,2.0,0.0,Suroccidente
2300000,93.0,2.0,2.0,1.0,Noroccidente
2300000,91.0,3.0,2.0,1.0,Suroccidente
1400000,82.0,3.0,2.0,1.0,Noroccidente
1135000,82.0,3.0,2.0,1.0,Suroccidente
800000,55.0,1.0,1.0,1.0,Noroccidente
900000,70.0,2.0,1.0,0.0,Suroccidente
720000,45.0,2.0,1.0,0.0,Suroccidente
700000,40.0,1.0,1.0,0.0,Suroccidente
1650000,98.0,3.0,3.0,1.0,Noroccidente
1304000,99.98,3.0,3.0,2.0,Suroccidente
650000,38.0,1.0,1.0,0.0,Noroccidente
2641000,105.0,3.0,2.0,2.0,Noroccidente
1720000,120.0,3.0,3.0,1.0,Noroccidente
1664000,40.0,1.0,1.0,1.0,Noroccidente
1900000,85.0,2.0,2.0,1.0,Noroccidente
1044300,74.0,3.0,2.0,1.0,Noroccidente
1762000,121.0,3.0,2.0,1.0,Noroccidente
1300000,90.0,2.0,2.0,1.0,Noroccidente
1500000,98.0,3.0,3.0,1.0,Noroccidente
2300000,90.0,4.0,3.0,1.0,Noroccidente
1250000,80.0,3.0,2.0,1.0,Noroccidente
1850000,75.0,2.0,2.0,1.0,Noroccidente
1100000,72.0,2.0,1.0,0.0,Noroccidente
1500000,67.0,2.0,2.0,1.0,Noroccidente
1170000,103.0,3.0,1.0,0.0,Noroccidente
780000,60.0,2.0,1.0,0.0,Suroccidente
2000000,48.0,1.0,2.0,1.0,Noroccidente
1080000,100.0,3.0,2.0,1.0,Noroccidente
1250000,84.0,3.0,2.0,1.0,Noroccidente
900000,49.0,1.0,1.0,0.0,Noroccidente
1100001,39.0,1.0,1.0,1.0,Noroccidente
1400000,80.0,3.0,2.0,1.0,Noroccidente
1450000,80.0,3.0,2.0,1.0,Noroccidente
1400000,80.0,3.0,2.0,1.0,Noroccidente
1300000,17.0,1.0,1.0,0.0,Noroccidente
700000,43.0,1.0,1.0,0.0,Suroccidente
3500000,105.0,3.0,3.0,1.0,Noroccidente
1350000,72.0,3.0,2.0,1.0,Noroccidente
1471200,82.0,3.0,2.0,1.0,Suroccidente
680000,60.0,2.0,1.0,1.0,Suroccidente
850000,74.0,2.0,1.0,1.0,Suroccidente
1030000,80.0,3.0,2.0,0.0,Suroccidente
1100000,100.0,3.0,2.0,0.0,Suroccidente
1440000,74.0,2.0,2.0,1.0,Noroccidente
1125000,95.0,2.0,2.0,1.0,Noroccidente
1200000,40.0,1.0,1.0,1.0,Noroccidente
2000000,92.0,3.0,2.0,1.0,Noroccidente
1284000,100.0,3.0,2.0,1.0,Noroccidente
969000,39.0,1.0,1.0,0.0,Noroccidente
1000000,64.0,2.0,2.0,1.0,Noroccidente
1300000,100.0,2.0,2.0,0.0,Noroccidente
900000,70.0,2.0,2.0,1.0,Suroccidente
850000,70.0,2.0,2.0,0.0,Suroccidente
1170000,98.0,3.0,1.0,0.0,Noroccidente
1000000,70.0,2.0,1.0,0.0,Suroccidente
1300000,75.0,2.0,2.0,0.0,Suroccidente
830000,50.0,2.0,1.0,0.0,Noroccidente
1366000,91.23,2.0,3.0,1.0,Noroccidente
1600000,98.0,3.0,2.0,1.0,Noroccidente
1400000,122.0,3.0,2.0,2.0,Noroccidente
1100000,52.0,2.0,1.0,0.0,Noroccidente
1100000,170.0,2.0,2.0,0.0,Noroccidente
1175000,36.0,1.0,2.0,1.0,Noroccidente
850000,55.0,1.0,1.0,0.0,Noroccidente
1050000,75.0,2.0,2.0,1.0,Noroccidente
1200000,117.0,3.0,3.0,1.0,Noroccidente
1170000,75.0,2.0,2.0,1.0,Noroccidente
1500000,70.0,2.0,2.0,1.0,Noroccidente
1200000,120.0,3.0,2.0,1.0,Noroccidente
1379000,170.0,3.0,2.0,1.0,Noroccidente
900000,60.0,2.0,1.0,0.0,Suroccidente
1500000,105.0,3.0,2.0,0.0,Noroccidente
1450000,117.0,2.0,2.0,1.0,Noroccidente
1900000,83.0,3.0,2.0,1.0,Noroccidente
2700000,115.0,3.0,2.0,1.0,Noroccidente
